info,to_margin,ypp_margin,yds_margin,result
Oklahoma @ Kansas: 45-20,-1,-2.26,-185,0
TCU @ Iowa State: 24-49,-2,1.93,107,1
Baylor @ Kansas State: 31-12,2,-3.14,-85,0
Kansas @ Texas: 48-50,2,0.89,69,1
Indiana State @ Kansas: 17-24,1,0.32,-21,1
Bowling Green @ Kansas State: 0-52,0,3.58,381,1
Texas @ West Virginia: 42-31,3,1.39,32,0
Iowa State @ West Virginia: 38-14,1,-1.71,-189,0
South Dakota State @ Minnesota: 21-28,-1,-0.98,-59,1
Tulsa @ Michigan State: 7-28,-3,2.35,223,1
UMass @ Rutgers: 21-48,1,3.02,241,1
Wisconsin @ South Florida: 49-0,2,-3.47,-276,0
Purdue @ Nevada: 31-34,-5,-1.16,-115,1
Howard @ Maryland: 0-79,-1,6.79,555,1
Akron @ Illinois: 3-42,-2,2.74,209,1
South Alabama @ Nebraska: 21-35,-2,0.13,-44,1
Indiana vs Ball State: 34-24,-1,-1.49,-76,0
Northwestern @ Stanford: 7-17,-2,1.56,162,1
Miami (OH) @ Iowa: 14-38,0,1.84,220,1
Middle Tennessee @ Michigan: 21-40,0,1.45,152,1
Florida Atlantic @ Ohio State: 21-45,1,3.21,241,1
Idaho @ Penn State: 7-79,0,5.52,528,1
Cincinnati @ Ohio State: 0-42,-2,2.17,235,1
Rutgers @ Iowa: 0-30,-3,3.45,313,1
Army @ Michigan: 21-24,0,0.79,97,1
Eastern Illinois @ Indiana: 0-52,0,5.43,439,1
Illinois @ Connecticut: 31-23,0,-0.47,-70,0
Nebraska @ Colorado: 31-34,-1,-0.57,-5,1
Western Michigan @ Michigan State: 17-51,-1,3.51,230,1
Minnesota @ Fresno State: 38-35,-1,0.5,-35,0
Buffalo @ Penn State: 13-45,-1,2.99,-72,1
Vanderbilt @ Purdue: 24-42,0,1.17,49,1
Central Michigan @ Wisconsin: 0-61,0,6.02,541,1
Ohio State @ Indiana: 51-10,0,-3.46,-261,0
Eastern Michigan @ Illinois: 34-31,1,-0.29,-16,0
Maryland @ Temple: 15-20,2,1.71,88,1
UNLV @ Northwestern: 14-30,-2,0.56,111,1
Georgia Southern @ Minnesota: 32-35,0,0.12,184,1
Arizona State @ Michigan State: 10-7,1,1.31,188,0
