info,to_margin,ypp_margin,yds_margin,result
Ole Miss vs Texas Tech: 47-27,-1,-3.98,-60,0
Texas vs Maryland: 29-34,-3,-0.31,2,1
West Virginia vs Tennessee: 40-14,-1,-4.19,-246,0
South Dakota @ Kansas State: 24-27,4,1.1,74,1
Oklahoma @ Texas Tech: 51-46,-2,-2.26,-214,0
Nicholls @ Kansas: 26-23,0,-0.8,-74,0
Abilene Christian @ Baylor: 27-55,0,2.51,140,1
TCU @ SMU: 42-12,-1,-2.17,-145,0
Mississippi State @ Kansas State: 31-10,0,-4.35,-325,0
UCLA @ Oklahoma: 21-49,1,1.84,98,1
Kansas @ Central Michigan: 31-7,6,-0.35,-81,0
Rutgers @ Kansas: 14-55,-6,3.17,270,1
Lamar @ Texas Tech: 0-77,-3,5.48,501,1
Oklahoma @ Iowa State: 37-27,0,-0.76,-72,0
Boise State @ Oklahoma State: 21-44,-1,1.81,10,1
Duke @ Baylor: 40-27,2,0.01,1,0
UT San Antonio @ Kansas State: 17-41,1,3.02,149,1
Houston @ Texas Tech: 49-63,1,0.14,69,1
Ohio State vs TCU: 40-28,3,0.15,-15,0
Iowa State @ Iowa: 3-13,-1,0.88,83,1
Youngstown State @ West Virginia: 17-52,0,3.45,332,1
USC @ Texas: 14-37,0,-0.15,77,1
Akron @ Iowa State: 13-26,1,1.15,121,1
Texas @ Texas Tech: 41-34,3,1.63,126,0
Baylor @ UT San Antonio: 37-20,0,-2.54,-239,0
Kansas State @ West Virginia: 6-35,3,2.36,146,1
Kansas @ Baylor: 7-26,0,1.63,175,1
TCU @ Texas: 16-31,-4,-0.4,-5,1
Army @ Oklahoma: 21-28,0,4.47,-24,1
Tulsa @ Texas: 21-28,-1,0.94,125,1
South Alabama @ Oklahoma State: 13-55,2,4.16,403,1
Oklahoma State @ Kansas: 48-28,0,-2.86,-200,0
West Virginia @ Texas Tech: 42-34,3,-1.6,-27,0
Texas @ Kansas State: 19-14,0,-1.67,-122,0
Baylor @ Oklahoma: 33-66,-1,6.36,114,1
Texas Tech @ Oklahoma State: 41-17,0,-0.52,-235,0
Iowa State @ TCU: 14-17,2,0.45,101,1
Kansas @ West Virginia: 22-38,1,1.6,223,1
Iowa State @ Oklahoma State: 48-42,0,-1.81,-50,0
Texas vs Oklahoma: 48-45,2,2.71,34,0
Texas Tech @ TCU: 17-14,2,0.29,58,0
Kansas State @ Baylor: 34-37,-1,-1.68,89,1
Baylor @ West Virginia: 14-58,-4,4.49,283,1
Oklahoma State @ Kansas State: 12-31,-2,0.53,110,1
Baylor @ Texas: 17-23,0,0.37,61,1
West Virginia @ Iowa State: 14-30,0,3.42,325,1
Oklahoma @ TCU: 52-27,1,-2.44,-261,0
Oklahoma @ West Virginia: 59-56,0,-2.45,36,0
Drake @ Iowa State: 24-27,1,-0.65,-6,1
Texas @ Kansas: 24-17,-1,0.05,-1,0
Kansas @ Texas Tech: 16-48,1,2.18,245,1
Baylor vs Texas Tech: 35-24,0,-0.65,-131,0
Texas vs Oklahoma: 27-39,0,0.53,71,1
Kansas @ Kansas State: 17-21,-2,0.16,-46,1
TCU @ West Virginia: 10-47,0,2.98,314,1
Oklahoma State @ Baylor: 31-35,1,0.5,-98,1
Texas Tech @ Iowa State: 31-40,-2,0.93,59,1
Texas @ Oklahoma State: 35-38,0,0.6,111,1
TCU @ Kansas: 26-27,-2,-2.42,-197,1
Kansas State @ Oklahoma: 14-51,-1,5.7,457,1
Kansas State @ TCU: 13-14,-2,0.65,-26,1
Texas Tech @ Kansas State: 6-21,-2,1.6,186,1
Oklahoma State @ Oklahoma: 47-48,-1,1.68,62,1
Baylor @ Iowa State: 14-28,0,-0.08,-150,1
West Virginia @ Oklahoma State: 41-45,3,0.71,51,1
Oklahoma State @ TCU: 24-31,-1,2.15,143,1
Kansas @ Oklahoma: 40-55,2,-0.33,42,1
West Virginia @ Texas: 42-41,0,-0.65,-56,0
Kansas State @ Iowa State: 38-42,2,2.57,65,1
Iowa State @ Texas: 10-24,-1,2.2,192,1
New Mexico State @ Minnesota: 10-48,0,2.97,251,1
Northwestern @ Purdue: 31-27,3,1.57,71,0
Utah State @ Michigan State: 31-38,0,1.04,108,1
Western Kentucky @ Wisconsin: 3-34,-1,2.25,186,1
Texas State @ Rutgers: 7-35,1,2.57,254,1
Kent State @ Illinois: 24-31,-1,1.03,16,1
Oregon State @ Ohio State: 31-77,0,2.07,329,1
Texas vs Maryland: 29-34,-3,-0.31,2,1
Northern Illinois @ Iowa: 7-33,-1,1.42,141,1
Appalachian State @ Penn State: 38-45,-1,-0.44,-17,1
Indiana @ Florida International: 38-28,2,-0.79,-138,0
Michigan @ Notre Dame: 17-24,-1,-0.07,-5,1
New Mexico @ Wisconsin: 14-45,-1,3.98,357,1
Duke @ Northwestern: 21-7,2,-0.45,80,0
Western Michigan @ Michigan: 3-49,-1,5.7,243,1
Eastern Michigan @ Purdue: 20-19,1,0.81,60,0
Rutgers @ Ohio State: 3-52,-2,5.68,425,1
Michigan State @ Arizona State: 13-16,0,-0.21,47,1
Ball State @ Indiana: 10-38,0,0.83,110,1
Temple @ Maryland: 35-14,1,-1.61,-234,0
Troy @ Nebraska: 24-19,1,0.25,111,0
Rutgers @ Kansas: 14-55,-6,3.17,270,1
Kent State @ Penn State: 10-63,1,6.66,446,1
BYU @ Wisconsin: 24-21,1,-0.55,83,0
Miami (OH) @ Minnesota: 3-26,-1,0.53,96,1
SMU @ Michigan: 20-45,0,2.45,115,1
South Florida vs Illinois: 25-19,-1,-2.64,-246,0
Northern Iowa @ Iowa: 14-38,0,2.86,317,1
Colorado @ Nebraska: 33-28,3,2.15,169,0
Iowa State @ Iowa: 3-13,-1,0.88,83,1
Maryland @ Bowling Green: 45-14,0,-5.32,-407,0
Virginia @ Indiana: 16-20,0,1.27,93,1
Fresno State @ Minnesota: 14-21,-1,-0.83,8,1
Western Illinois @ Illinois: 14-34,-3,-0.36,15,1
Penn State @ Pittsburgh: 51-6,1,-1.61,-76,0
Nebraska @ Michigan: 10-56,-1,4.02,359,1
Tulane @ Ohio State: 6-49,0,3.09,314,1
Michigan State @ Indiana: 35-21,-2,-1.44,-49,0
